ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_CropBlue,Intensity_IntegratedIntensity_CropBlue,Intensity_LowerQuartileIntensity_CropBlue,Intensity_MADIntensity_CropBlue,Intensity_MassDisplacement_CropBlue,Intensity_MaxIntensityEdge_CropBlue,Intensity_MaxIntensity_CropBlue,Intensity_MeanIntensityEdge_CropBlue,Intensity_MeanIntensity_CropBlue,Intensity_MedianIntensity_CropBlue,Intensity_MinIntensityEdge_CropBlue,Intensity_MinIntensity_CropBlue,Intensity_StdIntensityEdge_CropBlue,Intensity_StdIntensity_CropBlue,Intensity_UpperQuartileIntensity_CropBlue,Location_CenterMassIntensity_X_CropBlue,Location_CenterMassIntensity_Y_CropBlue,Location_CenterMassIntensity_Z_CropBlue,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_CropBlue,Location_MaxIntensity_Y_CropBlue,Location_MaxIntensity_Z_CropBlue,Number_Object_Number,Parent_Cells,Parent_Nuclei,Texture_AngularSecondMoment_CropBlue_3_00_256,Texture_AngularSecondMoment_CropBlue_3_01_256,Texture_AngularSecondMoment_CropBlue_3_02_256,Texture_AngularSecondMoment_CropBlue_3_03_256,Texture_Contrast_CropBlue_3_00_256,Texture_Contrast_CropBlue_3_01_256,Texture_Contrast_CropBlue_3_02_256,Texture_Contrast_CropBlue_3_03_256,Texture_Correlation_CropBlue_3_00_256,Texture_Correlation_CropBlue_3_01_256,Texture_Correlation_CropBlue_3_02_256,Texture_Correlation_CropBlue_3_03_256,Texture_DifferenceEntropy_CropBlue_3_00_256,Texture_DifferenceEntropy_CropBlue_3_01_256,Texture_DifferenceEntropy_CropBlue_3_02_256,Texture_DifferenceEntropy_CropBlue_3_03_256,Texture_DifferenceVariance_CropBlue_3_00_256,Texture_DifferenceVariance_CropBlue_3_01_256,Texture_DifferenceVariance_CropBlue_3_02_256,Texture_DifferenceVariance_CropBlue_3_03_256,Texture_Entropy_CropBlue_3_00_256,Texture_Entropy_CropBlue_3_01_256,Texture_Entropy_CropBlue_3_02_256,Texture_Entropy_CropBlue_3_03_256,Texture_InfoMeas1_CropBlue_3_00_256,Texture_InfoMeas1_CropBlue_3_01_256,Texture_InfoMeas1_CropBlue_3_02_256,Texture_InfoMeas1_CropBlue_3_03_256,Texture_InfoMeas2_CropBlue_3_00_256,Texture_InfoMeas2_CropBlue_3_01_256,Texture_InfoMeas2_CropBlue_3_02_256,Texture_InfoMeas2_CropBlue_3_03_256,Texture_InverseDifferenceMoment_CropBlue_3_00_256,Texture_InverseDifferenceMoment_CropBlue_3_01_256,Texture_InverseDifferenceMoment_CropBlue_3_02_256,Texture_InverseDifferenceMoment_CropBlue_3_03_256,Texture_SumAverage_CropBlue_3_00_256,Texture_SumAverage_CropBlue_3_01_256,Texture_SumAverage_CropBlue_3_02_256,Texture_SumAverage_CropBlue_3_03_256,Texture_SumEntropy_CropBlue_3_00_256,Texture_SumEntropy_CropBlue_3_01_256,Texture_SumEntropy_CropBlue_3_02_256,Texture_SumEntropy_CropBlue_3_03_256,Texture_SumVariance_CropBlue_3_00_256,Texture_SumVariance_CropBlue_3_01_256,Texture_SumVariance_CropBlue_3_02_256,Texture_SumVariance_CropBlue_3_03_256,Texture_Variance_CropBlue_3_00_256,Texture_Variance_CropBlue_3_01_256,Texture_Variance_CropBlue_3_02_256,Texture_Variance_CropBlue_3_03_256
1,10,305,1258,117,105,80,71,99.56065573770492,85.1704918032787,9.024759868670184,960,0.49060486462587044,19.706294962377495,0,0.2424483306836248,0.11080627236094559,43.79998242165597,39.81205847478876,3.605551275463989,1.4193083809804345,1.0,31.50482258565895,38.16652324126399,-24.90615114414292,185.9827560572969,0.3177083333333333,10.411765047349036,14.807843604125082,0.0235294122248888,0.019607843831181526,3.600983666106012,0.1921568661928177,0.1921568661928177,0.05849306206375863,0.04855030689877076,0.04313725605607033,0.0117647061124444,0.0117647061124444,0.04139748820885336,0.034833150604215796,0.05882352963089943,97.74629236600217,88.28098515948213,0.0,99.56065573770492,85.1704918032787,97.0,102.0,0.0,10,10,10,0.008449931412894376,0.01349431818181818,0.009359166823043722,0.010030864197530864,56.85185185185185,65.47727272727273,22.534246575342465,35.361111111111114,0.6965367628742876,0.2990422684744867,0.44058175584236625,0.3136912482538683,3.8033111291310284,3.8509783848484513,3.338706963902098,3.5236298579924332,0.001295473251028807,0.0010979338842975203,0.001891236629761682,0.0017707818930041144,7.147899834132993,6.555689288944334,7.037083292125582,6.911189210693433,-0.38745006156479556,-0.35062739174974616,-0.24903007476824993,-0.29112683414601637,0.9837533131648737,0.9687153587499154,0.929996024172852,0.9513611876315631,0.11886946585886796,0.20976603518718553,0.22974670634030586,0.24217885511640203,24.377777777777776,19.363636363636367,20.671232876712327,21.787037037037035,5.053683264983059,4.63611536447716,4.671965402576378,4.730485800347406,317.8350617283951,121.34504132231399,58.02889848001507,67.68612825788762,93.67172839506173,46.7055785123967,20.140786263839402,25.761809842249633
1,11,249,1225,59,116,24,81,40.7710843373494,101.20883534136546,8.353669765710201,754,0.6662829979767082,17.805522925178455,0,0.20326530612244897,0.1197078682838001,43.85257126032243,36.40054944640259,2.8284271247461903,1.3273217087570925,1.0,23.2349128784807,32.700817595515204,-48.43848864162714,161.675144212722,0.3302387267904509,8.266666922718287,12.02745135128498,0.0313725508749485,0.0156862735748291,1.9432986090156261,0.11372549086809158,0.11372549086809158,0.05511111281812191,0.04830301747504008,0.0470588244497776,0.01568627543747425,0.01568627543747425,0.023624152607877584,0.02151370154515496,0.062745101749897,41.23932179987423,99.32279102521316,0.0,40.7710843373494,101.20883534136546,51.0,87.0,0.0,11,11,11,0.012236343969713358,0.010414201183431955,0.011578449905482041,0.010034722222222223,44.17441860465116,95.76923076923077,45.51086956521739,26.891666666666662,-0.0016079610165234417,0.05960757426979318,-0.06682397448732923,0.4453480003007861,3.7224815365538912,4.069264591481517,3.818049766296948,3.4524195317900905,0.0017643170482543114,0.0010900723208415518,0.0015432682209619824,0.0024305555555555543,6.541155272390892,6.687677236072094,6.729871195093384,6.966271404100791,-0.32789075640925114,-0.4098091048578986,-0.3156545560676774,-0.2725563786363736,0.9607855144641267,0.9839502340984526,0.9590281451707463,0.94287115207056,0.17564052831916632,0.09037850643538675,0.22577374622439775,0.2382926396099086,21.22093023255814,27.461538461538467,22.07608695652174,24.125,4.341192227060803,4.807972475035417,4.415914305184453,4.802293130306836,44.03258518117906,107.91005917159748,39.80942816635155,70.0760416666667,22.051750946457588,50.91982248520702,21.33007443289229,24.241927083333394
1,12,299,792,173,120,149,87,158.26755852842808,102.49163879598662,5.282402768246509,516,0.7950047621284053,19.511499785403828,0,0.37752525252525254,0.1893077911459503,38.0869195883846,33.83784863137726,4.242640687119285,1.7124580668222404,1.4142135623730951,21.313284532445383,23.103646859154324,-18.503251450572062,140.88225099390854,0.5794573643410853,5.349019754678011,10.09803951671347,0.0117647061124444,0.011764707043766975,1.733995976267428,0.11764705926179886,0.11764705926179886,0.04384442421867222,0.03377270741375742,0.0235294122248888,0.007843137718737125,0.003921568859368563,0.03535484103088352,0.0270584502377715,0.0470588244497776,159.8217475607628,101.72271845064378,0.0,158.26755852842808,102.49163879598662,164.0,110.0,0.0,12,12,12,0.016058123929844043,0.01149519890260631,0.01359220799299132,0.011918021831142793,72.93197278911565,66.92592592592592,39.609137055837564,85.19402985074626,0.07472888187754063,0.1706221158596145,0.32124232104516665,0.2241930003397898,4.048372121229255,3.8720767246742627,3.583082796915881,4.162280968453809,0.001385228502268271,0.0018958303892978427,0.0025659967252304704,0.0011763058687335832,6.691534883908162,7.008690990396107,6.945520313439833,6.9068506806058725,-0.3057524481758158,-0.29363126035746656,-0.256104446262227,-0.29722905278651096,0.9542789975907556,0.9541350107202717,0.9327229277513183,0.9540955522385912,0.20936620339357054,0.2619602968307343,0.2715997068464061,0.1880751549388567,15.503401360544215,17.16296296296296,15.071065989847718,16.999999999999993,4.773282072790822,4.920314163725703,4.7989483428291395,4.885791697206481,84.71257346476011,94.46233196159125,77.10154860985853,134.43283582089572,39.411136563468915,40.34706447187932,29.177671416424033,54.906716417910474
1,13,212,1085,84,123,49,92,66.19339622641509,105.72641509433963,9.177271372439884,792,0.5957016742693844,16.42944866646031,0,0.19539170506912443,0.10896485016266205,45.47462991757246,35.73513677041127,2.8284271247461903,1.2307982182543475,1.0,28.012359909374073,36.52548531707209,-67.32368904438059,156.36143571373725,0.2676767676767677,11.121568912640214,13.776470940560102,0.03921568766236305,0.0156862735748291,2.7729476311649703,0.21568627655506134,0.21568627655506134,0.0761751295386316,0.06498335349320802,0.05098039284348488,0.019607843831181526,0.019607843831181526,0.04886375645508476,0.04416915606508931,0.07058823853731155,68.45630515060517,107.32906345440003,0.0,66.19339622641509,105.72641509433963,77.0,112.0,0.0,13,13,13,0.01456404320987654,0.013542628501077254,0.015873015873015872,0.016518241884515943,27.84722222222222,38.29824561403509,59.0,58.64406779661016,0.1990656875989979,0.594407873828387,0.32491145933183435,0.8632097660212901,3.278055882148483,3.4126411059577504,3.7102003618891506,3.697412171154269,0.0017134747417485523,0.0018411277253283583,0.0015032798833819242,0.00134833630378322,6.419653473544342,6.354562601770173,6.25101186791002,6.293577159494665,-0.335404861208665,-0.4833298614964368,-0.4300116164597115,-0.572102553918161,0.9616429685773011,0.9912516118488158,0.9835781307206639,0.9967681788140014,0.18130124571723644,0.1896207798924798,0.28153907222760494,0.2610346993889071,24.319444444444443,27.280701754385962,25.22222222222222,39.42372881355932,4.318212327380479,4.720888646002388,4.52873419387799,4.6838454908330185,41.68962191358037,150.55278547245314,115.79188712522046,798.786555587475,17.384211033950578,47.21275777162205,43.69797178130514,214.3576558460212
1,14,440,1085,152,123,121,88,138.7340909090909,105.74318181818182,6.490861829862565,819,0.628980825118106,23.66908109081279,0,0.4055299539170507,0.15406274639821962,42.71521438019431,39.11521443121589,4.123105625617661,1.7572976439199435,1.4142135623730951,29.285611805518585,33.2076967224628,-26.752643375897957,189.44469683442247,0.5372405372405372,6.113725710660219,14.878431865014136,0.01568627543747425,0.011764705181121826,1.206174810948463,0.09803921729326248,0.09803921729326248,0.03821078569162637,0.03381461787503213,0.027450980618596077,0.007843137718737125,0.007843137718737125,0.026746015036104874,0.02029058544841685,0.0470588244497776,137.5622034780745,106.02872957879705,0.0,138.7340909090909,105.74318181818182,138.0,116.0,0.0,14,14,14,0.010036443985307621,0.0077738195870064,0.007761479591836736,0.0087230098855359,41.337121212121204,64.43956043956044,41.150000000000006,34.58467741935483,0.22049652007374967,-0.10031692485973398,0.15097433101095264,0.38229801773656885,3.748639836025272,3.987814076638457,3.7132198733846673,3.567410114766285,0.0017964746985726003,0.0013678206831207668,0.0020342500905687704,0.0025742300303554597,7.099466751368667,7.295722786386506,7.428864403285473,7.364915347764617,-0.23437597344467775,-0.22513284687516463,-0.16216923976193107,-0.1997978768383635,0.9209473773941396,0.9180939496145997,0.8546695048906374,0.8972238487281711,0.21203771306656785,0.18297626250782684,0.21442145283490804,0.2816540310118484,16.875,17.494505494505496,16.85,17.463709677419356,4.771340438713815,4.713806859801247,4.768721773762746,4.904242251575974,64.72301136363637,52.68953024996978,55.78464285714284,77.39384430280955,26.51503314393939,29.282272672382575,24.23366071428569,27.994630430541093
1,15,284,1376,117,132,74,100,95.95422535211267,116.37323943661971,8.848487571661614,940,0.7518191318319632,19.015783725757565,0,0.2063953488372093,0.11301366384947241,51.360908987332465,44.598206241955516,3.605551275463989,1.4471158758580793,1.0,29.833148987719852,33.86581124995015,-63.29487802870053,177.70458146424488,0.3021276595744681,14.913725913502276,19.356863304041326,0.0313725508749485,0.019607843831181526,1.9963338091469054,0.2078431397676468,0.2078431397676468,0.08984172237049563,0.0681579693804272,0.0470588244497776,0.0117647061124444,0.0117647061124444,0.05740928984304376,0.05129538145690672,0.08235294371843338,95.00222852362532,114.61851703233663,0.0,95.95422535211267,116.37323943661971,81.0,109.0,0.0,15,15,15,0.011574464496542414,0.01582235958075786,0.0146,0.01041046995835812,24.91558441558442,19.15573770491803,63.53,127.92682926829269,0.7861313550265903,0.5804318058573309,0.11213350001502292,0.738587953128295,3.3213103080329236,3.05411986670671,3.6907851766891877,3.957037493744239,0.001979297313592649,0.002580910112736484,0.0013533607681755833,0.0011002089846252278,6.847053285020973,6.393382900931508,6.327627100346909,6.798109285338485,-0.32389908551039204,-0.2971726531388912,-0.4262326690784504,-0.6204791480767369,0.96389247413345,0.9447930301636769,0.9836319904144314,0.9988949719355363,0.2343418319905526,0.28919383514243274,0.04813718808747544,0.023799164078185754,24.396103896103895,21.778688524590166,22.770000000000003,44.65853658536585,4.8404257590005075,4.493821974476548,4.398110006341398,5.061956505136041,208.0833614437513,72.1559392636388,79.57709999999986,850.810232004759,58.24973646483386,22.827919242139203,35.77677499999999,244.68426531826293
1,16,440,1054,34,134,0,103,14.338636363636363,114.75227272727273,5.7341600396379,824,0.5890226215993919,23.66908109081279,0,0.4174573055028463,0.17439345834218256,39.304383432094134,36.76955262170047,5.830951894845301,2.0288489234245404,2.0,30.0,31.762522565393635,57.101155806335505,178.05992052357226,0.5339805825242718,5.8470590291544795,13.20392201654613,0.01568627543747425,0.0117647061124444,2.330296563308017,0.10196078568696976,0.10196078568696976,0.038722245226188605,0.030008913673968476,0.0235294122248888,0.003921568859368563,0.003921568859368563,0.027189302650521743,0.02030816932308948,0.03921568766236305,16.58806056924441,115.36085535616527,0.0,14.338636363636363,114.75227272727273,24.0,108.0,0.0,16,16,16,0.01550596729230097,0.010346680999731255,0.011553132182502812,0.014879578331794397,27.46236559139785,42.83196721311476,30.923076923076927,28.635964912280702,0.40738385383544473,0.18813733104593597,0.33011391896165115,0.4102693362929237,3.342169652340715,3.6239990548757475,3.4445140528035765,3.323822143234641,0.0037712202509674274,0.002515106305405609,0.003118199440395761,0.003745216951844632,6.765452891124227,7.042081197715109,7.019339765759492,6.670476861426296,-0.25360233253908104,-0.22960822429979288,-0.19315017175771615,-0.2502233087562301,0.9272690489483743,0.9159933991775668,0.8814931369577899,0.9228179322327932,0.33494939162331383,0.1857273976613295,0.28986835882301737,0.3295027605600577,14.222222222222221,15.241803278688526,14.286713286713287,14.12719298245614,4.681607110140078,4.731520664340966,4.718890910319411,4.621552426620164,65.2194344882517,62.68333445310401,61.400312973739574,68.47943598030159,23.170450019912394,26.37882541655469,23.080847474204127,24.27885022314556
1,17,288,812,180,133,152,104,165.3125,121.82291666666667,4.392507530249784,533,0.37433323540618213,19.149229459268767,0,0.35467980295566504,0.2276603951418005,28.518622023393355,29.154759474226502,5.656854249492381,2.043298801189946,1.4142135623730951,22.620269227523586,26.445154263076912,-75.66586172790873,126.08326112068522,0.5403377110694184,5.439215859398246,8.694117926526815,0.007843137718737125,0.007843137718737125,4.115524541419451,0.13725490868091583,0.13725490868091583,0.047712419819282856,0.030187909467106994,0.01568627543747425,0.007843137718737125,0.003921568859368563,0.034924938737758746,0.02807864691364007,0.0470588244497776,167.9557961206549,118.66847093570908,0.0,165.3125,121.82291666666667,166.0,111.0,0.0,17,17,17,0.04696926170640621,0.03840877914951989,0.02885053044361192,0.01764828303850156,21.316384180790962,26.660493827160494,34.75147928994083,73.3225806451613,0.5286773987169955,0.5619789258724468,0.2925874120889989,0.28661086552913995,3.078683011072194,3.149923910451939,3.3988983908997774,4.069047443924418,0.0038469415983061472,0.003705608901082154,0.0027695486939152535,0.0012297825053634978,5.719051244058289,5.9810589169510315,6.156808630989498,6.42039220721488,-0.31967031443570043,-0.3574781246080601,-0.24652582756860997,-0.2849807560886285,0.9415450320080414,0.9622790430073614,0.9071544706446758,0.9389378816245867,0.42958994405377615,0.4171079602215334,0.34423264662342307,0.19408598787590836,10.875706214689266,12.364197530864196,11.579881656804734,14.393548387096775,4.249595388589141,4.53190700005176,4.406642462820905,4.6171888372791265,69.13709342781445,95.07106386221614,63.49805679072858,132.2386680541103,22.613369402151363,30.432889422344147,24.562384020167357,51.39031217481789
1,18,125,676,69,135,43,109,54.744,120.504,6.41982574826307,316,0.9065805778164101,12.6156626101008,0,0.1849112426035503,0.15576746771835,35.61262961675681,27.313000567495326,2.8284271247461903,1.192866559721714,1.0,14.613829732446813,15.029696596395258,50.67465914682792,100.42031021678298,0.39556962025316456,8.286274764686823,9.274510087445378,0.03529411926865578,0.03529411740601063,1.4959005651074186,0.18039216101169586,0.18039216101169586,0.0863153621321544,0.07419608069956303,0.06862745434045792,0.01568627543747425,0.01568627543747425,0.041983589613168296,0.04326569253596533,0.10980392247438431,54.90190273858264,121.99154335259071,0.0,54.744,120.504,50.0,122.0,0.0,18,18,18,0.019183673469387756,0.01063100137174211,0.02606310013717421,0.020811654526534856,30.771428571428572,156.59259259259258,117.66666666666666,63.516129032258064,0.5143054097061602,0.43493003202637454,0.18234461459271645,0.33577091120796176,3.1148974894015975,4.191806540004825,3.902311575917029,3.784368487596862,0.002100497962879131,0.0008752695824104034,0.001152536605146299,0.0012963710560666346,5.786425874087823,6.60673935401532,5.421554168830134,5.663873729741714,-0.5711310078712833,-0.6631148795992051,-0.6088102602799089,-0.5884845277819912,0.9950898741953064,0.9992876011690602,0.9956436057956514,0.9955446307851106,0.10748083836749546,0.05401939001459414,0.18977277353111566,0.12097745255973903,24.65714285714286,48.59259259259259,24.33333333333333,25.451612903225808,4.47914337402601,5.333500696567848,4.078418520441602,4.453880987666652,95.93959183673462,397.6488340192045,170.14814814814838,127.73152965660756,31.677755102040805,138.5603566529495,71.95370370370364,47.81191467221646
1,19,418,1254,59,153,26,115,40.619617224880386,134.98564593301435,6.14881018287023,817,0.6105674664793683,23.06976657227589,0,0.3333333333333333,0.1626330900221749,40.908613097926846,37.12142238654117,5.0,1.8774157928608923,1.4142135623730951,27.912039825371323,32.39815897697131,24.749464137987303,179.71677477306463,0.5116279069767442,8.796078706625849,15.596078929491341,0.01568627543747425,0.0117647061124444,4.905530114540699,0.21568627655506134,0.21568627655506134,0.05711739419886915,0.03731119361122331,0.0235294122248888,0.003921568859368563,0.003921568859368563,0.05473605479745586,0.038273903746261474,0.04313725605607033,43.10460144713812,130.75609759781403,0.0,40.619617224880386,134.98564593301435,48.0,122.0,0.0,19,19,19,0.015132905013857393,0.013111243307555026,0.010772305409620129,0.009311587018309208,31.047619047619047,90.39512195121952,40.918287937743195,36.337398373983746,0.3810826082043171,0.6748225076438672,0.27675300847575535,0.3172729029719203,3.398974837177229,4.090932881063058,3.6608780532711176,3.583346138502942,0.002102229780801209,0.0010812244290934702,0.001489033458771023,0.0016758723616355131,6.8202443545349505,7.121222889694636,7.009716196913557,7.292846708710773,-0.26893433412502854,-0.4020938251817077,-0.23362144463418014,-0.17123238766274249,0.9380121813776379,0.9860192238408488,0.9183810213193812,0.863016428292901,0.3356757072802145,0.2495915712870611,0.23412046740111897,0.24738113815131527,14.19047619047619,21.224390243902437,14.46692607003891,14.597560975609756,4.788735303369053,5.287792962755447,4.808254156419512,4.7323824382989805,69.28117913832199,465.57891731112437,72.23334191282231,70.11040055522511,25.082199546485263,138.99350981558598,28.287907462641343,26.611949732302193
